FIPS,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lalowihalf,lakidshalf,laseniorshalf,lawhitehalf,lablackhalf,laasianhalf,lanhopihalf,laaianhalf,laomultirhalf,lahisphalf,lahunvhalf,lasnaphalf,lapop1,lalowi1,lakids1,laseniors1,lawhite1,lablack1,laasian1,lanhopi1,laaian1,laomultir1,lahisp1,lahunv1,lasnap1,lapop10,lalowi10,lakids10,laseniors10,lawhite10,lablack10,laasian10,lanhopi10,laaian10,laomultir10,lahisp10,lahunv10,lasnap10,lapop20,lalowi20,lakids20,laseniors20,lawhite20,lablack20,laasian20,lanhopi20,laaian20,laomultir20,lahisp20,lahunv20,lasnap20,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHisp,TractHUNV,TractSNAP,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,PCTGQTRS,PovertyRate,lapophalfshare,lalowihalfshare,lakidshalfshare,laseniorshalfshare,lawhitehalfshare,lablackhalfshare,laasianhalfshare,lanhopihalfshare,laaianhalfshare,laomultirhalfshare,lahisphalfshare,lapop1share,lalowi1share,lakids1share,laseniors1share,lawhite1share,lablack1share,laasian1share,lanhopi1share,laaian1share,laomultir1share,lahisp1share,lapop10share,lalowi10share,lakids10share,laseniors10share,lawhite10share,lablack10share,laasian10share,lanhopi10share,laaian10share,laomultir10share,lahisp10share,lapop20share,lalowi20share,lakids20share,laseniors20share,lawhite20share,lablack20share,laasian20share,lanhopi20share,laaian20share,laomultir20share,lahisp20share,lahunv20share,lahunv10share,lahunvhalfshare,lahunv1share,lasnap20share,lasnap10share,lasnaphalfshare,lasnap1share,MedianFamilyIncome
01001,7,54571,20221,0,455.0,5,5,3,1,3,5,18503.0,29442.0,13384.0,7106.0,10300.0,4799.0,49497.0,15518.0,13281.0,5935.0,38699.0,8987.0,374.0,23.0,216.0,1200.0,1166.0,1045.0,2338.0,37424.0,12067.0,9973.0,4393.0,28864.0,7295.0,176.0,16.0,171.0,901.0,800.0,834.0,1827.0,5119.0,2307.0,1199.0,707.0,2951.0,2054.0,4.0,0.0,21.0,88.0,67.0,222.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17243.0,14613.0,6546.0,42855.0,9643.0,474.0,32.0,232.0,1335.0,1310.0,1191.0,2692.0,9,9,7,7,7,2,0,3,0.8340855032892928,15.137584064796322,90.70543713694087,28.436536805262868,24.336182038078835,10.873802569130124,70.91638855802532,16.469489655677926,0.6832458631874073,0.042439940627805976,0.394809697458357,2.197970717047516,2.1364261237653697,68.57863810448774,22.116227849956935,18.27372487218486,8.047009950339925,52.892024885012184,13.370232541093253,0.3235154202781697,0.030831027468802112,0.31436990342856097,1.6500426966703927,1.4665062029282954,9.380260577962654,4.225003206831468,2.197115317659563,1.2967125396272747,5.408135823056202,3.7629834527496286,0.007128328232944237,0.0,0.03943193271151344,0.16258104121236552,0.12197815689652011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0983690223035458,5.162920725977943,4.121603778250334,0.0,1.5537916027891796,11.566840907966967,9.039186983828694,69337.5
01003,14,182265,73180,0,2307.0,4,4,3,3,6,7,45789.0,71643.0,43481.0,14468.0,22146.0,13622.0,165616.0,48117.0,38278.0,27241.0,142534.0,14958.0,1155.0,83.0,1135.0,5757.0,7321.0,2178.0,5032.0,132442.0,38848.0,30633.0,21828.0,115294.0,10622.0,807.0,51.0,974.0,4695.0,5695.0,1653.0,4027.0,2308.0,846.0,516.0,390.0,1850.0,385.0,4.0,0.0,36.0,34.0,17.0,32.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57843.0,41898.0,30568.0,156153.0,17105.0,1348.0,89.0,1216.0,6354.0,7992.0,2705.0,5926.0,14,15,13,14,13,1,0,6,1.2652612953666365,10.94787150577456,90.86805371300031,26.398816722903465,21.00229528433874,14.946626779688916,78.20230455655226,8.205963459797546,0.6346442816777769,0.044701999835404495,0.6218337585383918,3.1595650289413766,4.015459084300332,72.66409420349491,21.31101923024168,16.806786711656105,11.975906619482622,63.257202589635966,5.827209886703426,0.4437953529201986,0.028281019394837188,0.5335456066716046,2.575929333662524,3.1247485254985876,1.2661954297314348,0.4638507667407346,0.28369621156009106,0.21415982223685295,1.015397854771898,0.21073486407154415,0.0020018105505719697,0.0,0.01972869174004883,0.01849142731736757,0.009182728444846789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043727111232577213,2.9773555616288605,2.262375102487018,0.0,0.10533451762776713,6.875931128723695,5.506559852418693,72665.74193548386
01005,2,27457,9820,0,3193.0,4,5,1,3,3,8,5636.0,8563.0,993.0,2864.0,4452.0,424.0,23762.0,11901.0,4943.0,3348.0,11829.0,10675.0,74.0,29.0,109.0,1047.0,1272.0,742.0,2236.0,19007.0,9290.0,3701.0,2537.0,9800.0,8138.0,66.0,12.0,101.0,889.0,1044.0,545.0,1648.0,4643.0,2440.0,791.0,629.0,1942.0,2275.0,10.0,3.0,12.0,400.0,426.0,201.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12073.0,6015.0,3909.0,13180.0,12875.0,107.0,29.0,114.0,1152.0,1387.0,849.0,2516.0,4,5,1,2,1,3,0,3,11.629586990567068,29.354517973558654,86.54464471719416,43.34229813890811,18.0018334122446,12.194239720289907,43.08417780529555,38.87706486506173,0.26999308008886624,0.1051786429690061,0.394542011144699,3.811422588046764,4.630664675674692,69.22071748552281,33.83744072549805,13.475225625523544,9.238582510835124,35.69594820992825,29.633252722438723,0.24163929052700586,0.043419892923480356,0.36715263867137704,3.235951851986743,3.800062279200204,16.905932913282587,8.888663364533635,2.88120697818407,2.2904927705138944,7.070637724441855,8.28706559347343,0.03667589321484503,0.009403066613249808,0.04450376953053866,1.4576326619805515,1.5519594274684054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.040995926680244,7.561671079429735,5.567890020366598,0.0,3.970908350305499,22.77363951120163,16.781097759674136,44792.444444444445
01007,0,22915,7953,0,2224.0,0,0,0,1,2,1,365.0,365.0,0.0,102.0,102.0,0.0,20989.0,8349.0,4824.0,2630.0,16162.0,4361.0,22.0,13.0,60.0,371.0,379.0,441.0,872.0,17560.0,6480.0,4198.0,2262.0,14503.0,2693.0,17.0,6.0,52.0,288.0,268.0,312.0,713.0,365.0,102.0,90.0,72.0,348.0,10.0,2.0,0.0,1.0,3.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7968.0,5201.0,2906.0,17381.0,5047.0,22.0,13.0,64.0,388.0,406.0,410.0,849.0,0,0,0,0,0,0,0,2,9.705382500545493,13.833458433340605,91.59489068295876,36.43579576696487,21.04562993672267,11.477077460178922,70.53435304385773,19.032169321405192,0.09376652847479816,0.05738817368535893,0.2639188304603971,1.6171206633209687,1.6552760200741872,76.63248745363299,28.276943923194413,18.318737071787037,9.8705651320096,63.291704123936285,11.756942614008292,0.07081125900065459,0.022955269474143572,0.22713331878682086,1.259114990181104,1.1653100589133754,1.592189831987781,0.443916648483526,0.38938817368535894,0.31246345188741,1.5186650665502945,0.04469954178485708,0.007651756491381192,0.0,0.007057822387082697,0.014115644774165393,0.011763037311804496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006382497170878914,5.539474412171508,3.9145982648057336,0.0,0.2085301144222306,10.963818684773042,8.959752294731548,60645.5
01009,1,57322,21578,0,489.0,0,0,0,2,4,3,3902.0,5432.0,3902.0,1440.0,2039.0,1440.0,54933.0,19806.0,13583.0,7810.0,50968.0,716.0,106.0,38.0,296.0,2809.0,4262.0,822.0,1962.0,50848.0,18188.0,12575.0,7114.0,47501.0,544.0,81.0,36.0,271.0,2414.0,3602.0,752.0,1804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20795.0,14106.0,8439.0,53068.0,761.0,117.0,38.0,307.0,3031.0,4626.0,856.0,1966.0,1,1,1,1,1,0,0,4,0.8522476536059453,14.62384250375074,95.83014828512613,34.554371794424476,23.69655402812184,13.6262654827117,88.91396619099125,1.2479988486096087,0.18389710756777503,0.06595042043194585,0.515721363525348,4.90014026028401,7.4362956630961925,88.70697690241094,31.730510275286978,21.936759359408253,12.412086633404277,82.86493876696555,0.9462792645057745,0.14122012490841213,0.0634906318690904,0.47388245350825164,4.212809043648162,6.283360140958097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8085624246918157,3.48736907961813,0.0,0.0,9.09024701084438,8.360047270367968,60437.666666666664
01011,1,10914,3745,0,1690.0,2,2,1,1,1,2,7480.0,8839.0,4897.0,3529.0,4207.0,2264.0,10068.0,4676.0,2243.0,1305.0,2261.0,7162.0,8.0,43.0,19.0,574.0,665.0,433.0,879.0,8709.0,3998.0,1872.0,1118.0,2180.0,5935.0,4.0,43.0,17.0,531.0,614.0,334.0,700.0,2586.0,1267.0,560.0,488.0,936.0,1609.0,1.0,0.0,8.0,31.0,20.0,80.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4767.0,2430.0,1469.0,2507.0,7666.0,20.0,43.0,23.0,655.0,777.0,423.0,936.0,3,3,1,1,1,2,0,1,15.487227414330219,33.812864211105,92.24337181601612,42.849400769653656,20.554643577056993,11.957747846802272,20.711006047278726,65.62621770203408,0.07378779549202859,0.39694154297232914,0.18245006413780468,5.260789811251603,6.085655121861828,79.80153197727688,36.63498808869342,17.14485065054059,10.24634414513469,19.97568810701851,54.375202492211834,0.03474436503573392,0.39694154297232914,0.1564211105002749,4.863848268279273,5.630148433205057,23.687887117463806,11.611658420377497,5.129989004947774,4.462550852116547,8.583454278907825,14.73664284405351,0.008715411398204143,0.0,0.07238409382444566,0.28451163643027305,0.18742715777899943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1551108144192255,11.56720694259012,8.916010680907878,0.0,6.232835781041389,23.485540720961282,18.714518024032046,39524.666666666664
01013,2,20947,8491,0,333.0,3,3,1,3,3,7,2508.0,4508.0,1174.0,1448.0,2429.0,892.0,18066.0,8647.0,4386.0,2856.0,10151.0,7516.0,146.0,7.0,58.0,187.0,179.0,542.0,1382.0,13062.0,5961.0,3014.0,2132.0,8306.0,4465.0,109.0,2.0,54.0,125.0,99.0,327.0,958.0,1334.0,556.0,270.0,259.0,745.0,565.0,5.0,0.0,7.0,12.0,11.0,23.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9473.0,5056.0,3489.0,11399.0,9095.0,177.0,7.0,60.0,209.0,191.0,520.0,1248.0,3,4,1,2,1,2,0,3,1.590810139876832,23.080016231441256,86.24423449658663,41.286192772234685,20.93287344249773,13.632856256265814,48.456330262090034,35.8845567384351,0.6967742397479353,0.0343285434668449,0.2788461354847949,0.8915959325917792,0.8544722394614981,62.354662720198604,28.466485892967967,14.383120255883895,10.176513581897169,39.652413233398576,21.319495393135057,0.521964004392037,0.008527235403637753,0.25689645295269015,0.5971814579653411,0.46947916169379866,6.372184083639661,2.659365064209672,1.2915586957559557,1.2396486370363298,3.5575013128371604,2.699926003723684,0.024354322814722874,0.0,0.035116723158447515,0.05595216498782642,0.053197593927531386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2652926628194559,6.374621363796962,3.8605641267224122,0.0,1.0426851960899777,16.280677187610408,11.281462725238487,50170.666666666664
01015,21,118572,47331,0,2919.0,12,14,12,8,8,15,42576.0,69358.0,42576.0,18257.0,31720.0,18257.0,103164.0,42330.0,23624.0,14513.0,78551.0,20274.0,706.0,88.0,458.0,3086.0,3077.0,2334.0,7310.0,73009.0,27692.0,16631.0,10097.0,59149.0,11085.0,440.0,64.0,328.0,1936.0,1873.0,1386.0,4735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46441.0,27126.0,16990.0,88840.0,24382.0,845.0,96.0,540.0,3869.0,3893.0,2599.0,8042.0,19,21,19,21,19,0,0,8,2.4614248726512162,19.652660830550214,87.007123013865,35.701674763013195,19.92464468845933,12.24062999696387,66.24662432952131,17.09848766993894,0.5971314475592889,0.07439488243430152,0.3864924265425227,2.602750480720575,2.5948025672165436,61.57318017744493,23.353566862328375,14.026564450291806,8.514330955031541,49.88755136119826,9.350214047161218,0.3725053975643491,0.05328323718921837,0.2760265492696421,1.633387730661539,1.577887612589819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.931432253702647,2.9267194861718533,0.0,0.0,15.443296782235745,10.00373053601234,50331.642857142855
01017,4,34215,13933,0,458.0,3,3,3,1,3,4,6746.0,10852.0,6066.0,2772.0,4903.0,2480.0,28913.0,12879.0,6512.0,4690.0,17355.0,10878.0,152.0,3.0,62.0,464.0,409.0,825.0,1722.0,21766.0,9202.0,4809.0,3491.0,13899.0,7379.0,144.0,1.0,53.0,288.0,267.0,607.0,1225.0,680.0,292.0,115.0,144.0,491.0,176.0,1.0,0.0,3.0,10.0,14.0,12.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14986.0,7703.0,5706.0,20112.0,13257.0,168.0,10.0,69.0,599.0,536.0,989.0,1985.0,4,4,4,4,4,0,0,3,1.3377051001022942,16.635651030249893,84.50159082273856,37.644280286424085,19.031164401578256,13.711458716937015,50.718411515417216,31.79172351307906,0.44293789273710366,0.008165424521408738,0.17888236153733744,1.3605179015051878,1.1986663743971944,63.61247581470115,26.89795586730966,14.055357007160604,10.204502118953675,40.62204968581032,21.566293730819815,0.41908227385649566,0.002836182960689756,0.15366213648984364,0.8449358468507965,0.7809338009644893,1.9865532661113545,0.8542820400409177,0.3366225339763262,0.4224179453456086,1.4328505041648398,0.5133894490720444,0.0021154464416191726,0.0,0.009745725558965367,0.02739441765307614,0.04103843343562765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108088710256227,5.9241627790138525,4.364162061293332,0.0,0.3563539797602813,12.357411182085695,8.79158831550994,52413.444444444445
01019,1,25989,10626,0,290.0,0,0,0,0,1,2,3506.0,3977.0,3415.0,1301.0,1448.0,1267.0,25204.0,10341.0,5384.0,4533.0,23465.0,1064.0,49.0,1.0,131.0,495.0,313.0,397.0,1640.0,24078.0,9864.0,5156.0,4295.0,22555.0,881.0,46.0,1.0,130.0,465.0,301.0,361.0,1561.0,91.0,34.0,19.0,12.0,87.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10793.0,5566.0,4651.0,24081.0,1208.0,54.0,1.0,135.0,510.0,320.0,435.0,1682.0,1,1,1,1,1,0,0,1,1.1159621378275424,15.125491554119051,96.98059640617183,39.795082919696796,20.718154603870868,17.44024895147947,90.28650390549849,4.08976259186579,0.18843587671707263,0.004279502866597407,0.5044749701796913,1.9042279425910962,1.2035368809881102,92.64754665435376,37.95483473777367,19.83905767824849,16.523559198122285,86.78695601985456,3.3914475354957867,0.17754434568471275,0.004279502866597407,0.4989991919658317,1.7885667012967024,1.1576582400246258,0.349558659432837,0.13396898687906422,0.07313863557659009,0.04699834545384586,0.3346769787217669,0.005739351263996306,0.0,0.0,0.001489861095078687,0.005739351263996306,0.0019131170879987686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014225484660267268,3.740083756822887,3.3938085827216264,0.0,0.047784679089026914,15.42985036702428,14.684402409185017,51754.666666666664
