FIPS,State,"County, State",2015 Food Insecurity Rate,# of Food Insecure Persons in 2015,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2015 Child food insecurity rate,# of Food Insecure Children in 2015,% food insecure children in HH w/ HH incomes below 185 FPL in 2015,% food insecure children in HH w/ HH incomes above 185 FPL in 2015,2015 Cost Per Meal,2015 Weighted Annual Food Budget Shortfall
01001,AL,"Autauga County, Alabama",0.139,7680,1.3,SNAP,1.85,Other Nutrition Program,0.472,0.221,0.307,0.21,2950,0.73,0.27,3.18,4376000
01003,AL,"Baldwin County, Alabama",0.13,25350,1.3,SNAP,1.85,Other Nutrition Program,0.526,0.168,0.306,0.22,9620,0.72,0.28,3.4,15466000
01005,AL,"Barbour County, Alabama",0.234,6290,1.3,SNAP,1.85,Other Nutrition Program,0.556,0.236,0.208,0.296,1700,0.8,0.2,3.05,3442000
01007,AL,"Bibb County, Alabama",0.161,3650,1.3,SNAP,1.85,Other Nutrition Program,0.538,0.256,0.206,0.25,1230,0.98,0.02,2.89,1888000
01009,AL,"Blount County, Alabama",0.113,6510,1.3,SNAP,1.85,Other Nutrition Program,0.64,0.175,0.186,0.239,3260,0.75,0.25,3.02,3528000
01011,AL,"Bullock County, Alabama",0.244,2610,1.3,SNAP,1.85,Other Nutrition Program,0.512,0.326,0.162,0.255,570,0.82,0.18,3.12,1460000
01013,AL,"Butler County, Alabama",0.22,4480,1.3,SNAP,1.85,Other Nutrition Program,0.629,0.225,0.146,0.273,1290,0.84,0.16,2.9,2327000
01015,AL,"Calhoun County, Alabama",0.174,20280,1.3,SNAP,1.85,Other Nutrition Program,0.586,0.186,0.228,0.263,6860,0.82,0.18,2.91,10597000
01017,AL,"Chambers County, Alabama",0.203,6920,1.3,SNAP,1.85,Other Nutrition Program,0.599,0.222,0.179,0.261,1920,0.83,0.17,2.8,3477000
01019,AL,"Cherokee County, Alabama",0.139,3630,1.3,SNAP,1.85,Other Nutrition Program,0.633,0.231,0.136,0.261,1390,0.87,0.14,3.06,1991000
01021,AL,"Chilton County, Alabama",0.135,5930,1.3,SNAP,1.85,Other Nutrition Program,0.689,0.143,0.169,0.249,2640,0.87,0.13,2.93,3115000
01023,AL,"Choctaw County, Alabama",0.212,2850,1.3,SNAP,1.85,Other Nutrition Program,0.549,0.22,0.232,0.261,730,0.74,0.26,2.86,1463000
01025,AL,"Clarke County, Alabama",0.247,6200,1.3,SNAP,1.85,Other Nutrition Program,0.544,0.21,0.246,0.27,1550,0.71,0.29,2.85,3172000
01027,AL,"Clay County, Alabama",0.15,2030,1.3,SNAP,1.85,Other Nutrition Program,0.669,0.266,0.064,0.24,710,1.0,0.0,2.99,1087000
01029,AL,"Cleburne County, Alabama",0.135,2020,1.3,SNAP,1.85,Other Nutrition Program,0.554,0.24,0.206,0.253,880,0.76,0.25,2.91,1055000
01031,AL,"Coffee County, Alabama",0.151,7700,1.3,SNAP,1.85,Other Nutrition Program,0.552,0.168,0.28,0.238,2880,0.72,0.28,3.32,4578000
01033,AL,"Colbert County, Alabama",0.166,9040,1.3,SNAP,1.85,Other Nutrition Program,0.567,0.188,0.245,0.26,3080,0.74,0.27,2.62,4243000
01035,AL,"Conecuh County, Alabama",0.244,3140,1.3,SNAP,1.85,Other Nutrition Program,0.705,0.178,0.117,0.286,810,0.76,0.24,2.86,1612000
01037,AL,"Coosa County, Alabama",0.177,1950,1.3,SNAP,1.85,Other Nutrition Program,0.6,0.346,0.054,0.242,500,1.0,0.0,3.26,1141000
01039,AL,"Covington County, Alabama",0.163,6180,1.3,SNAP,1.85,Other Nutrition Program,0.633,0.2,0.167,0.269,2260,0.83,0.17,2.86,3171000
01041,AL,"Crenshaw County, Alabama",0.167,2320,1.3,SNAP,1.85,Other Nutrition Program,0.586,0.212,0.202,0.222,710,0.72,0.28,3.06,1274000
01043,AL,"Cullman County, Alabama",0.129,10480,1.3,SNAP,1.85,Other Nutrition Program,0.694,0.192,0.115,0.243,4440,0.9,0.1,2.79,5241000
01045,AL,"Dale County, Alabama",0.168,8390,1.3,SNAP,1.85,Other Nutrition Program,0.552,0.148,0.299,0.241,2880,0.69,0.31,2.95,4436000
01047,AL,"Dallas County, Alabama",0.298,12550,1.3,SNAP,1.85,Other Nutrition Program,0.651,0.218,0.131,0.315,3390,0.75,0.25,3.11,7003000
01049,AL,"DeKalb County, Alabama",0.117,8350,1.3,SNAP,1.85,Other Nutrition Program,0.76,0.205,0.035,0.232,4160,0.95,0.05,2.93,4386000
01051,AL,"Elmore County, Alabama",0.142,11430,1.3,SNAP,1.85,Other Nutrition Program,0.445,0.14,0.415,0.214,3980,0.65,0.35,3.3,6771000
01053,AL,"Escambia County, Alabama",0.201,7610,1.3,SNAP,1.85,Other Nutrition Program,0.621,0.227,0.151,0.255,2160,0.93,0.07,2.85,3889000
01055,AL,"Etowah County, Alabama",0.159,16450,1.3,SNAP,1.85,Other Nutrition Program,0.625,0.188,0.187,0.257,5940,0.78,0.22,2.82,8332000
01057,AL,"Fayette County, Alabama",0.161,2720,1.3,SNAP,1.85,Other Nutrition Program,0.645,0.207,0.147,0.258,950,0.93,0.08,3.14,1533000
01059,AL,"Franklin County, Alabama",0.135,4270,1.3,SNAP,1.85,Other Nutrition Program,0.752,0.132,0.116,0.277,2120,0.89,0.11,2.83,2169000
01061,AL,"Geneva County, Alabama",0.155,4150,1.3,SNAP,1.85,Other Nutrition Program,0.702,0.136,0.163,0.285,1690,0.79,0.21,2.75,2043000
01063,AL,"Greene County, Alabama",0.318,2760,1.3,SNAP,1.85,Other Nutrition Program,0.687,0.311,0.002,0.347,700,0.8,0.2,3.21,1588000
